20170406-13:24:03,5.16613507271,270,0,550050,567470,45520
20170406-13:24:08,5.16772317886,270,0,572085,567225,45520
20170406-13:24:13,5.2997879982,250,0,573450,567550,45515
20170406-13:24:18,5.40208005905,285,0,573475,567285,45500
20170406-13:24:25,6.20094418526,245,0,573500,566845,45440
20170406-13:24:30,5.20040607452,280,0,574040,567585,45480
20170406-13:24:36,6.56581020355,235,0,573925,567150,45475
20170406-13:24:42,5.20185804367,220,0,573665,567185,45475
20170406-13:24:47,5.16694378853,250,0,573415,566560,45445
20170406-13:24:52,5.20024681091,240,0,573115,566340,45390
20170406-13:24:57,5.38378190994,260,0,572880,566220,45435
20170406-13:25:03,5.1630821228,270,0,573135,566040,45435
20170406-13:25:08,5.16750407219,265,111465,572680,565825,45400
20170406-13:25:13,5.20063591003,260,583255,573380,566185,45420
20170406-13:25:18,5.16843914986,250,615160,573310,565960,45400
20170406-13:25:23,5.16780900955,255,612370,572855,565330,45360
20170406-13:25:28,5.200289011,250,610770,572600,564990,45340
20170406-13:25:34,5.24830794334,265,610600,572070,564900,45280
20170406-13:25:39,5.35172104836,250,610545,571795,564910,45325
20170406-13:25:44,5.30814099312,285,610460,572415,565280,45335
20170406-13:25:50,5.16777706146,250,610575,572365,565300,45335
20170406-13:25:55,5.16531085968,225,77005,571470,565625,45300
20170406-13:26:00,5.16886496544,280,6865,572540,566340,45365
20170406-13:26:05,5.16470503807,260,645,572320,565905,45360
20170406-13:26:10,5.16837692261,250,35,571985,565945,45380
20170406-13:26:15,5.16730809212,270,0,571585,565480,45325
20170406-13:26:21,5.16806387901,230,0,426605,565165,45310
20170406-13:26:26,5.16775083542,255,0,64230,565075,45270
20170406-13:26:31,5.1678481102,230,0,31930,564885,45265
20170406-13:26:36,5.2008190155,235,0,28855,565080,45260
20170406-13:26:41,5.16742706299,270,0,28670,565375,45290
20170406-13:26:46,5.16742014885,235,0,28655,565230,45290
20170406-13:26:52,5.1674990654,255,0,28615,564985,45265
20170406-13:26:57,5.16698908806,240,0,28585,564890,45215
20170406-13:27:02,5.16769599915,265,0,79225,564825,45240
20170406-13:27:07,5.16696000099,225,0,63905,564260,45205
20170406-13:27:12,5.16727900505,245,0,120190,564455,45195
20170406-13:27:18,5.33306217194,255,0,212945,564405,45240
20170406-13:27:23,5.41475987434,260,0,238250,564345,45160
20170406-13:27:28,5.48200702667,245,0,141835,563680,45170
20170406-13:27:34,5.16771197319,280,0,293095,564155,45200
20170406-13:27:39,5.16697597504,275,0,173870,563045,45140
20170406-13:27:44,5.3027639389,270,0,273530,563185,45115
