20170517-09:46:17,10.0143802166,0,0,0,0
20170517-09:46:27,10.0189499855,0,0,0,0
20170517-09:46:37,10.0162038803,0,0,0,0
20170517-09:46:47,10.0092520714,0,0,0,0
20170517-09:46:57,10.0149469376,0.0,0.0,0.0,0.0
20170517-09:47:07,10.010409832,0.0,0.0,0.0,0.0
20170517-09:47:17,10.0103700161,0.0,0.0,0.0,0.0
20170517-09:47:27,10.017357111,50170,45470,4405,2305
20170517-09:47:37,10.0188360214,24860,29355,4425,2310
20170517-09:47:47,10.0158119202,23400,28590,4430,2285
20170517-09:47:57,10.0151851177,0.0,0.0,0.0,0.0
20170517-09:48:07,10.0007419586,0.0,0.0,0.0,0.0
20170517-09:48:17,10.000950098,0.0,0.0,0.0,0.0
20170517-09:48:27,10.0093109608,22005,26730,4455,2295
20170517-09:48:37,10.014154911,21900,123045,4435,2295
20170517-09:48:47,10.0154411793,19930,143305,4460,2290
20170517-09:48:57,10.0083148479,20585,21465,4420,2325
20170517-09:49:07,10.0127820969,0.0,0.0,0.0,0.0
20170517-09:49:17,10.0008108616,0.0,0.0,0.0,0.0
20170517-09:49:27,10.0018930435,0.0,0.0,0.0,0.0
20170517-09:49:37,10.0059828758,21205,22090,3880,2285
20170517-09:49:47,10.0150811672,38980,24890,3875,2300
20170517-09:49:57,10.0144460201,24085,28695,3880,2285
20170517-09:50:07,10.0049581528,22565,28330,3885,2275
20170517-09:50:17,10.0151031017,22365,28080,3855,2280
20170517-09:50:27,10.0148220062,22210,27685,3850,2300
20170517-09:50:37,10.0149559975,22225,139170,3840,2300
20170517-09:50:47,10.0138380527,22145,20865,3855,2290
20170517-09:50:57,10.005053997,22040,116060,3870,2300
20170517-09:51:07,10.0145001411,61965,19475,3860,2290
20170517-09:51:17,10.0143148899,21870,23065,3855,2315
20170517-09:51:27,10.0145850182,23145,120965,3865,2290
20170517-09:51:37,10.0145771503,21720,20890,3850,2280
20170517-09:51:47,10.0043609142,21725,23035,3835,2280
20170517-09:51:57,10.0043940544,42630,111795,3840,2275
20170517-09:52:07,10.0140249729,20105,32420,16945,2320
20170517-09:52:17,10.0147240162,20885,27270,9595,2270
20170517-09:52:27,10.0142788887,21465,26890,9485,2285
20170517-09:52:37,10.0142850876,21455,26530,33175,2285
20170517-09:52:47,10.0146551132,21500,26280,511680,2285
20170517-09:52:57,10.0091619492,39610,19660,213720,2305
20170517-09:53:07,10.0157961845,0.0,0.0,0.0,0.0
20170517-09:53:17,10.0102720261,0.0,0.0,0.0,0.0
20170517-09:53:27,10.0005757809,0.0,0.0,0.0,0.0
20170517-09:53:37,10.0139839649,22560,20995,168505,2325
20170517-09:53:47,10.013890028,22480,98710,168350,2275
20170517-09:53:57,10.0139729977,19945,32940,168340,2300
20170517-09:54:07,10.0043330193,42085,20080,168125,2285
20170517-09:54:18,10.0046479702,23450,106635,167865,2270
20170517-09:54:28,10.0141880512,22320,32385,167725,2290
20170517-09:54:38,10.0139551163,22140,27535,167660,2300
20170517-09:54:48,10.0047688484,22010,20045,167510,2280
20170517-09:54:58,10.0173640251,19880,97795,167530,2310
20170517-09:55:08,10.0208749771,326725,71875,167175,2270
20170517-09:55:18,10.0198860168,40875,22200,167535,2305
20170517-09:55:28,10.0206389427,22935,105235,167290,2330
20170517-09:55:38,10.0197570324,21885,30670,167035,2285
20170517-09:55:48,10.0206389427,21725,26345,167190,2275
20170517-09:55:58,10.010461092,21700,25630,167015,2300
20170517-09:56:08,10.0116770267,39810,19805,166815,2280
20170517-09:56:18,10.0198338032,43465,21490,166910,2315
20170517-09:56:28,10.0106818676,20170,89465,167000,2275
20170517-09:56:38,10.0197401047,21110,20330,166600,2265
20170517-09:56:48,10.0201420784,21640,76385,22585,2275
20170517-09:56:58,10.0194549561,21075,32935,17645,2270
20170517-09:57:08,10.0220050812,44020,24745,27535,2300
20170517-09:57:18,10.0111701488,40725,19755,35180,2275
20170517-09:57:28,10.0191910267,77435,22365,41350,2260
20170517-09:57:38,10.0099418163,21215,110260,48185,2320
20170517-09:57:48,10.0201160908,21945,20780,55340,2290
20170517-09:57:58,10.0196831226,21865,22545,64560,2285
20170517-09:58:08,10.0163459778,21930,25105,73545,2285
20170517-09:58:18,10.011592865,21825,25185,79265,2305
20170517-09:58:28,10.014138937,21740,24935,81250,2300
20170517-09:58:38,10.017802,21710,19515,76790,2280
20170517-09:58:48,10.0201001167,21590,20945,64425,2285
20170517-09:58:58,10.0189249516,21495,90385,60565,2280
20170517-09:59:08,10.0194969177,21410,28385,52695,2285
20170517-09:59:18,10.0096080303,21390,24740,21230,2285
20170517-09:59:28,10.0198550224,21320,24235,17885,2275
20170517-09:59:38,10.0203340054,22455,24050,18045,2285
20170517-09:59:48,10.0209839344,150155,23870,18090,2285
20170517-09:59:58,10.0104401112,39025,23700,10440,2290
20170517-10:00:08,10.0201737881,54825,80025,9175,2290
20170517-10:00:18,10.0192708969,100645,27240,9160,2300
20170517-10:00:28,10.0196580887,101820,19625,4895,2275
20170517-10:00:38,10.0100710392,115605,22205,4655,2280
20170517-10:00:48,10.0188241005,114520,25245,4780,2280
20170517-10:00:58,10.0185787678,128690,100930,4500,2280
20170517-10:01:08,10.0197529793,142610,30325,4510,2280
20170517-10:01:18,10.0109429359,58370,26020,4500,2275
