20170406-14:43:50,5.33142805099,2840,0,270,507245,211500,97740,93755,15435,0
20170406-14:43:56,5.51405215263,2955,0,265,575310,211450,97425,93620,3485,0
20170406-14:44:02,6.04872202873,2860,0,285,319195,211410,97210,93765,1425,0
20170406-14:44:09,6.68007397652,2910,0,265,19810,211430,97050,93760,1330,0
20170406-14:44:14,5.46416282654,2830,0,240,9325,211390,97240,93640,1325,0
20170406-14:44:19,5.29901790619,2860,0,240,8800,211340,97395,93670,10450,0
20170406-14:44:25,5.33239483833,2900,0,270,8750,211470,97355,93655,29530,0
20170406-14:44:30,5.33232784271,2875,0,295,8690,211505,97150,93585,30805,0
20170406-14:44:35,5.36487293243,2895,0,265,344070,211585,97170,93520,18160,0
20170406-14:44:41,5.38243484497,2875,0,265,557745,211555,97230,93490,3720,0
20170406-14:44:46,5.42908596992,2820,0,260,577505,211540,97140,93510,1565,0
20170406-14:44:52,5.39744997025,2870,0,240,168645,211510,97065,93405,1390,0
20170406-14:44:57,5.59893202782,2805,0,220,17900,211545,96790,93470,1360,0
20170406-14:45:03,5.33155107498,2855,0,270,9555,212345,96770,93320,14925,0
20170406-14:45:08,5.42908596992,2870,0,265,8760,212465,96620,93470,16250,0
20170406-14:45:13,5.36452198029,2900,0,245,338275,212455,96835,93455,7125,0
20170406-14:45:19,5.30037093163,2875,0,240,558600,212555,96815,93435,1660,0
20170406-14:45:24,5.38177418709,2880,0,270,578495,212620,97025,93415,14040,0
20170406-14:45:30,5.54736804962,2875,0,245,181785,212465,97200,93380,15750,0
20170406-14:45:35,5.71501612663,2810,0,270,24745,212465,97070,93330,15920,0
20170406-14:45:41,5.48322319984,2825,0,235,9630,212515,96805,93130,16345,0
20170406-14:45:46,5.29992198944,2880,0,240,8810,212595,96480,93225,16315,0
20170406-14:45:52,5.49805688858,2900,0,280,8690,212595,96300,93180,16110,0
20170406-14:45:57,5.44617295265,2870,0,270,8685,212565,96205,93050,2200,0
20170406-14:46:02,5.33281493187,2890,0,250,8680,212485,96290,92865,1410,0
20170406-14:46:08,5.63379383087,2860,0,225,8730,212675,96340,92920,1340,0
20170406-14:46:13,5.33253407478,2875,0,280,499200,212710,96445,93000,1355,0
20170406-14:46:19,5.51474499702,2865,0,250,576635,212655,96475,93150,6580,0
20170406-14:46:24,5.30006599426,2835,0,255,580830,212565,96580,92945,28420,0
20170406-14:46:29,5.30089998245,2890,0,265,128955,212700,96605,92820,30490,0
20170406-14:46:35,5.89899206161,2860,0,285,15635,212710,96640,92795,18185,0
20170406-14:46:41,5.41492199898,2895,0,280,9100,212680,96505,92710,5385,0
20170406-14:46:46,5.4616549015,2885,0,245,8775,212790,96215,92695,1560,0
20170406-14:46:51,5.33312487602,2875,0,240,8730,212820,96065,92555,1375,0
20170406-14:46:57,5.39731693268,2845,0,235,2425,212840,95840,92490,1375,0
20170406-14:47:02,5.29976511002,2870,0,245,145,212790,95760,92660,14945,0
20170406-14:47:08,5.49747896194,2865,0,230,0,212805,95725,92655,16190,0
20170406-14:47:13,5.54701590538,2875,0,260,0,212710,95835,92565,7210,0
20170406-14:47:20,6.54964494705,2810,0,280,0,212740,96030,92270,1660,0
20170406-14:47:25,5.3317759037,0,0,245,0,212965,96095,92265,13955,0
20170406-14:47:32,6.82094979286,0,0,245,0,212995,96110,92285,15830,0
20170406-14:47:38,5.56495785713,0,0,245,0,212970,96150,92110,15935,0
20170406-14:47:43,5.38366508484,0,0,280,0,212945,96005,92200,16375,0
20170406-14:47:48,5.33211016655,0,0,260,0,212965,95715,92255,16330,0
20170406-14:47:54,5.33298301697,0,0,240,0,212905,95385,92325,7035,0
20170406-14:47:59,5.36478018761,0,0,265,0,212900,94915,92345,1880,0
20170406-14:48:04,5.36469101906,0,0,260,0,212880,94970,92330,1365,0
20170406-14:48:10,5.36454582214,0,0,235,0,212940,94915,92125,1335,0
20170406-14:48:15,5.36510515213,0,0,250,0,212975,95030,91875,1335,0
20170406-14:48:20,5.47906804085,0,0,280,0,212970,95210,91955,14060,0
20170406-14:48:26,5.3650560379,0,0,250,0,213095,95295,91700,29405,0
20170406-14:48:32,6.36978507042,0,0,215,0,213000,95420,91735,30845,0
20170406-14:48:38,5.39866495132,0,0,270,0,213040,95425,91845,16845,0
20170406-14:48:43,5.29543399811,0,0,270,0,213030,95465,91785,2920,0
20170406-14:48:48,5.36472606659,0,0,265,0,213220,95240,91845,1505,0
20170406-14:48:54,5.33260393143,0,0,275,0,213220,95055,91865,1375,0
20170406-14:48:59,5.33228993416,0,0,245,0,213285,94875,92045,6850,0
20170406-14:49:04,5.54865384102,0,0,250,0,213240,94620,92050,15810,0
20170406-14:49:10,5.56141805649,0,0,280,0,213240,94470,91945,16280,0
20170406-14:49:16,5.7471909523,0,0,240,0,213210,94415,91875,3555,0
